Date,Close
1/4/2021,729.77
1/5/2021,735.11
1/6/2021,755.98
1/7/2021,816.04
1/8/2021,880.02
1/11/2021,811.19
1/12/2021,849.44
1/13/2021,854.41
1/14/2021,845
1/15/2021,826.16
1/19/2021,844.55
1/20/2021,850.45
1/21/2021,844.99
1/22/2021,846.64
1/25/2021,880.8
1/26/2021,883.09
1/27/2021,864.16
1/28/2021,835.43
1/29/2021,793.53
2/1/2021,839.81
2/2/2021,872.79
2/3/2021,854.69
2/4/2021,849.99
2/5/2021,852.23
2/8/2021,863.42
2/9/2021,849.46
2/10/2021,804.82
2/11/2021,811.66
2/12/2021,816.12
2/16/2021,796.22
2/17/2021,798.15
2/18/2021,787.38
2/19/2021,781.3
2/22/2021,714.5
2/23/2021,698.84
2/24/2021,742.02
2/25/2021,682.22
2/26/2021,675.5
3/1/2021,718.43
3/2/2021,686.44
3/3/2021,653.2
3/4/2021,621.44
3/5/2021,597.95
3/8/2021,563
3/9/2021,673.58
3/10/2021,668.06
3/11/2021,699.6
3/12/2021,693.73
3/15/2021,707.94
3/16/2021,676.88
3/17/2021,701.81
3/18/2021,653.16
3/19/2021,654.87
3/22/2021,670
3/23/2021,662.16
3/24/2021,630.27
3/25/2021,640.39
3/26/2021,618.71
3/29/2021,611.29
3/30/2021,635.62
3/31/2021,667.93
4/1/2021,661.75
4/5/2021,691.05
4/6/2021,691.62
4/7/2021,670.97
4/8/2021,683.8
4/9/2021,677.02
4/12/2021,701.98
4/13/2021,762.32
4/14/2021,732.23
4/15/2021,738.85
4/16/2021,739.78
4/19/2021,714.63
4/20/2021,718.99
4/21/2021,744.12
4/22/2021,719.69
4/23/2021,729.4
4/26/2021,738.2
4/27/2021,704.74
4/28/2021,694.4
4/29/2021,677
4/30/2021,709.44
5/3/2021,684.9
5/4/2021,673.6
5/5/2021,670.94
5/6/2021,663.54
5/7/2021,672.37
5/10/2021,629.04
5/11/2021,617.2
5/12/2021,589.89
5/13/2021,571.69
5/14/2021,589.74
5/17/2021,576.83
5/18/2021,577.87
5/19/2021,563.46
5/20/2021,586.78
5/21/2021,580.88
5/24/2021,606.44
5/25/2021,604.69
5/26/2021,619.13
5/27/2021,630.85
5/28/2021,625.22
6/1/2021,623.9
6/2/2021,605.12
6/3/2021,572.84
6/4/2021,599.05
6/7/2021,605.13
6/8/2021,603.59
6/9/2021,598.78
6/10/2021,610.12
6/11/2021,609.89
6/14/2021,617.69
6/15/2021,599.36
6/16/2021,604.87
6/17/2021,616.6
6/18/2021,623.31
6/21/2021,620.83
6/22/2021,623.71
6/23/2021,656.57
6/24/2021,679.82
6/25/2021,671.87
6/28/2021,688.72
6/29/2021,680.76
6/30/2021,679.7
7/1/2021,677.92
7/2/2021,678.9
7/6/2021,659.58
7/7/2021,644.65
7/8/2021,652.81
7/9/2021,656.95
7/12/2021,685.7
7/13/2021,668.54
7/14/2021,653.38
7/15/2021,650.6
7/16/2021,644.22
7/19/2021,646.22
7/20/2021,660.5
7/21/2021,655.29
7/22/2021,649.26
7/23/2021,643.38
7/26/2021,657.62
7/27/2021,644.78
7/28/2021,646.98
7/29/2021,677.35
7/30/2021,687.2
8/2/2021,709.67
8/3/2021,709.74
8/4/2021,710.92
8/5/2021,714.63
8/6/2021,699.1
8/9/2021,713.76
8/10/2021,709.99
8/11/2021,707.82
8/12/2021,722.25
8/13/2021,717.17
8/16/2021,686.17
8/17/2021,665.71
8/18/2021,688.99
8/19/2021,673.47
8/20/2021,680.26
8/23/2021,706.3
8/24/2021,708.49
8/25/2021,711.2
8/26/2021,701.16
8/27/2021,711.92
8/30/2021,730.91
8/31/2021,735.72
9/1/2021,734.09
9/2/2021,732.39
9/3/2021,733.57
9/7/2021,752.92
9/8/2021,753.87
9/9/2021,754.86
9/10/2021,736.27
9/13/2021,743
9/14/2021,744.49
9/15/2021,755.83
9/16/2021,756.99
9/17/2021,759.49
9/20/2021,730.17
9/21/2021,739.38
9/22/2021,751.94
9/23/2021,753.64
9/24/2021,774.39
9/27/2021,791.36
9/28/2021,777.56
9/29/2021,781.31
9/30/2021,775.48
10/1/2021,775.22
10/4/2021,781.53
10/5/2021,780.59
10/6/2021,782.75
10/7/2021,793.61
10/8/2021,785.49
10/11/2021,791.94
10/12/2021,805.72
10/13/2021,811.08
10/14/2021,818.32
10/15/2021,843.03
10/18/2021,870.11
10/19/2021,864.27
10/20/2021,865.8
10/21/2021,894
10/22/2021,909.68
10/25/2021,1024.86
10/26/2021,1018.43
10/27/2021,1037.86
10/28/2021,1077.04
10/29/2021,1114
