Date,Close
1/4/2021,217.69
1/5/2021,217.9
1/6/2021,212.25
1/7/2021,218.29
1/8/2021,219.62
1/11/2021,217.49
1/12/2021,214.93
1/13/2021,216.34
1/14/2021,213.02
1/15/2021,212.65
1/19/2021,216.44
1/20/2021,224.34
1/21/2021,224.97
1/22/2021,225.95
1/25/2021,229.53
1/26/2021,232.33
1/27/2021,232.9
1/28/2021,238.93
1/29/2021,231.96
2/1/2021,239.65
2/2/2021,239.51
2/3/2021,243
2/4/2021,242.01
2/5/2021,242.2
2/8/2021,242.47
2/9/2021,243.77
2/10/2021,242.82
2/11/2021,244.49
2/12/2021,244.99
2/16/2021,243.7
2/17/2021,244.2
2/18/2021,243.79
2/19/2021,240.97
2/22/2021,234.51
2/23/2021,233.27
2/24/2021,234.55
2/25/2021,228.99
2/26/2021,232.38
3/1/2021,236.94
3/2/2021,233.87
3/3/2021,227.56
3/4/2021,226.73
3/5/2021,231.6
3/8/2021,227.39
3/9/2021,233.78
3/10/2021,232.42
3/11/2021,237.13
3/12/2021,235.75
3/15/2021,234.81
3/16/2021,237.71
3/17/2021,237.04
3/18/2021,230.72
3/19/2021,230.35
3/22/2021,235.99
3/23/2021,237.58
3/24/2021,235.46
3/25/2021,232.34
3/26/2021,236.48
3/29/2021,235.24
3/30/2021,231.85
3/31/2021,235.77
4/1/2021,242.35
4/5/2021,249.07
4/6/2021,247.86
4/7/2021,249.9
4/8/2021,253.25
4/9/2021,255.85
4/12/2021,255.91
4/13/2021,258.49
4/14/2021,255.59
4/15/2021,259.5
4/16/2021,260.74
4/19/2021,258.74
4/20/2021,258.26
4/21/2021,260.58
4/22/2021,257.17
4/23/2021,261.15
4/26/2021,261.55
4/27/2021,261.97
4/28/2021,254.56
4/29/2021,252.51
4/30/2021,252.18
5/3/2021,251.86
5/4/2021,247.79
5/5/2021,246.47
5/6/2021,249.73
5/7/2021,252.46
5/10/2021,247.18
5/11/2021,246.23
5/12/2021,239
5/13/2021,243.03
5/14/2021,248.15
5/17/2021,245.18
5/18/2021,243.08
5/19/2021,243.12
5/20/2021,246.48
5/21/2021,245.17
5/24/2021,250.78
5/25/2021,251.72
5/26/2021,251.49
5/27/2021,249.31
5/28/2021,249.68
6/1/2021,247.4
6/2/2021,247.3
6/3/2021,245.71
6/4/2021,250.79
6/7/2021,253.81
6/8/2021,252.57
6/9/2021,253.59
6/10/2021,257.24
6/11/2021,257.89
6/14/2021,259.89
6/15/2021,258.36
6/16/2021,257.38
6/17/2021,260.9
6/18/2021,259.43
6/21/2021,262.63
6/22/2021,265.51
6/23/2021,265.27
6/24/2021,266.69
6/25/2021,265.02
6/28/2021,268.72
6/29/2021,271.4
6/30/2021,270.9
7/1/2021,271.6
7/2/2021,277.65
7/6/2021,277.66
7/7/2021,279.93
7/8/2021,277.42
7/9/2021,277.94
7/12/2021,277.32
7/13/2021,280.98
7/14/2021,282.51
7/15/2021,281.03
7/16/2021,280.75
7/19/2021,277.01
7/20/2021,279.32
7/21/2021,281.4
7/22/2021,286.14
7/23/2021,289.67
7/26/2021,289.05
7/27/2021,286.54
7/28/2021,286.22
7/29/2021,286.5
7/30/2021,284.91
8/2/2021,284.82
8/3/2021,287.12
8/4/2021,286.51
8/5/2021,289.52
8/6/2021,289.46
8/9/2021,288.33
8/10/2021,286.44
8/11/2021,286.95
8/12/2021,289.81
8/13/2021,292.85
8/16/2021,294.6
8/17/2021,293.08
8/18/2021,290.73
8/19/2021,296.77
8/20/2021,304.36
8/23/2021,304.65
8/24/2021,302.62
8/25/2021,302.01
8/26/2021,299.09
8/27/2021,299.72
8/30/2021,303.59
8/31/2021,301.88
9/1/2021,301.83
9/2/2021,301.15
9/3/2021,301.14
9/7/2021,300.18
9/8/2021,300.21
9/9/2021,297.25
9/10/2021,295.71
9/13/2021,296.99
9/14/2021,299.79
9/15/2021,304.82
9/16/2021,305.22
9/17/2021,299.87
9/20/2021,294.3
9/21/2021,294.8
9/22/2021,298.58
9/23/2021,299.56
9/24/2021,299.35
9/27/2021,294.17
9/28/2021,283.52
9/29/2021,284
9/30/2021,281.92
10/1/2021,289.1
10/4/2021,283.11
10/5/2021,288.76
10/6/2021,293.11
10/7/2021,294.85
10/8/2021,294.85
10/11/2021,294.23
10/12/2021,292.88
10/13/2021,296.31
10/14/2021,302.75
10/15/2021,304.21
10/18/2021,307.29
10/19/2021,308.23
10/20/2021,307.41
10/21/2021,310.76
10/22/2021,309.16
10/25/2021,308.13
10/26/2021,310.11
10/27/2021,323.17
10/28/2021,324.35
10/29/2021,331.62
